"ORIG"	"DAT1"	"DAT2"	"cond_memo"	"stat_memo"	"LOCA"	"TOPO"	"REC"	"DET"	"Ordre"	"Famille"	"Sous-Famille"	"Espece"	"Espèce"	"GEN"	"SP"	"spec_memo"	"Abondance"	"Parcelle"	"Numéro de piège"	"Type piège"	"CPI"	"Numéro de projet"	"Numéro d'arbre"	"COND_ID"	"STAT_ID"
Null	20240415	20240430	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				2					57		192166	139507
Null	20240430	20240618	bleu unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				9					57		192172	139502
Null	20240618	20240708	jaune unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192180	139502
Null	20240618	20240708	Blanc bleu jaune alterné		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192183	139507
Null	20240430	20240618	blanc bleu jaune groupé		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				5					57		192169	139502
Null	20240415	20240430	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192167	139507
Null	20240618	20240708	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				2					57		192186	139507
Null	20240708	20240829	blanc bleu jaune groupé		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192189	139502
Null	20240415	20240430	blanc bleu jaune groupé		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192164	139507
Null	20240618	20240708	blanc unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192181	139502
Null	20240618	20240708	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				4					57		192187	139507
Null	20240430	20240618	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				3					57		192176	139507
Null	20240618	20240708	blanc bleu jaune groupé		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192179	139502
Null	20240708	20240829	blanc unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192191	139502
Null	20240708	20240829	bleu unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192192	139502
Null	20240708	20240829	jaune unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				2					57		192195	139507
Null	20240430	20240618	jaune unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				2					57		192175	139507
Null	20240618	20240708	blanc bleu jaune groupé		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192184	139507
Null	20240430	20240618	Blanc bleu jaune alterné		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				4					57		192173	139507
Null	20240430	20240618	blanc bleu jaune groupé		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				3					57		192174	139507
Null	20240708	20240829	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				1					57		192196	139507
Null	20240430	20240618	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				5					57		192177	139507
Null	20240708	20240829	Blanc bleu jaune alterné		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				2					57		192193	139507
Null	20240430	20240618	Blanc bleu jaune alterné		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				6					57		192168	139502
Null	20240430	20240618	blanc unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOCRITA	APOCRITA Gerstäcker, 1867				9					57		192171	139502
Null	20240415	20240430	jaune unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				5					57		192165	139507
Null	20240430	20240618	blanc bleu jaune groupé		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				24					57		192169	139502
Null	20240415	20240430	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				23					57		192166	139507
Null	20240708	20240829	blanc bleu jaune groupé		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				8					57		192194	139507
Null	20240618	20240708	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				1					57		192187	139507
Null	20240708	20240829	blanc bleu jaune groupé		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				8					57		192189	139502
Null	20240708	20240829	jaune unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				11					57		192190	139502
Null	20240618	20240708	jaune unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				5					57		192180	139502
Null	20240618	20240708	Blanc bleu jaune alterné		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				5					57		192178	139502
Null	20240618	20240708	blanc bleu jaune groupé		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				3					57		192179	139502
Null	20240708	20240829	Blanc bleu jaune alterné		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				9					57		192193	139507
Null	20240708	20240829	blanc unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				37					57		192191	139502
Null	20240618	20240708	blanc bleu jaune groupé		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				17					57		192184	139507
Null	20240430	20240618	Blanc bleu jaune alterné		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				11					57		192173	139507
Null	20240618	20240708	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				30					57		192186	139507
Null	20240430	20240618	jaune unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				5					57		192175	139507
Null	20240708	20240829	bleu unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				1					57		192192	139502
Null	20240430	20240618	Blanc bleu jaune alterné		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				24					57		192168	139502
Null	20240415	20240430	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				3					57		192167	139507
Null	20240618	20240708	bleu unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				4					57		192182	139502
Null	20240415	20240430	blanc bleu jaune groupé		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				15					57		192164	139507
Null	20240708	20240829	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				13					57		192196	139507
Null	20240430	20240618	blanc bleu jaune groupé		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				13					57		192174	139507
Null	20240618	20240708	Blanc bleu jaune alterné		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				6					57		192183	139507
Null	20240430	20240618	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				16					57		192176	139507
Null	20240430	20240618	bleu unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				14					57		192172	139502
Null	20240618	20240708	jaune unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				2					57		192185	139507
Null	20240708	20240829	Blanc bleu jaune alterné		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				32					57		192188	139502
Null	20240430	20240618	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				3					57		192177	139507
Null	20240430	20240618	jaune unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				3					57		192170	139502
Null	20240618	20240708	blanc unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				9					57		192181	139502
Null	20240430	20240618	blanc unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				60					57		192171	139502
Null	20240708	20240829	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	HYMENOPTERA			APOIDEA	APOIDEA Latreille, 1802				3					57		192197	139507
Null	20240708	20240829	Blanc bleu jaune alterné		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				266					57		192193	139507
Null	20240618	20240708	bleu unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				63					57		192182	139502
Null	20240430	20240618	jaune unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				115					57		192175	139507
Null	20240618	20240708	Blanc bleu jaune alterné		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				40					57		192178	139502
Null	20240430	20240618	Blanc bleu jaune alterné		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				402					57		192168	139502
Null	20240708	20240829	Blanc bleu jaune alterné		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				140					57		192188	139502
Null	20240708	20240829	blanc unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				54					57		192191	139502
Null	20240618	20240708	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				39					57		192187	139507
Null	20240708	20240829	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				55					57		192197	139507
Null	20240415	20240430	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				14					57		192167	139507
Null	20240618	20240708	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				33					57		192186	139507
Null	20240708	20240829	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				50					57		192196	139507
Null	20240430	20240618	blanc bleu jaune groupé		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				57					57		192169	139502
Null	20240430	20240618	blanc bleu jaune groupé		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				100					57		192174	139507
Null	20240430	20240618	blanc unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				151					57		192171	139502
Null	20240430	20240618	bleu unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				113					57		192172	139502
Null	20240708	20240829	jaune unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				38					57		192195	139507
Null	20240415	20240430	jaune unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				21					57		192165	139507
Null	20240708	20240829	blanc bleu jaune groupé		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				97					57		192189	139502
Null	20240708	20240829	bleu unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				87					57		192192	139502
Null	20240430	20240618	jaune unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				15					57		192170	139502
Null	20240618	20240708	jaune unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				37					57		192185	139507
Null	20240430	20240618	bleu unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				35					57		192177	139507
Null	20240618	20240708	blanc unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				95					57		192181	139502
Null	20240618	20240708	blanc bleu jaune groupé		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				1					57		192179	139502
Null	20240430	20240618	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				202					57		192176	139507
Null	20240430	20240618	Blanc bleu jaune alterné		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				120					57		192173	139507
Null	20240618	20240708	jaune unicolore		Domaine des barres	Four à chaux	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				34					57		192180	139502
Null	20240415	20240430	blanc unicolore		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				58					57		192166	139507
Null	20240618	20240708	Blanc bleu jaune alterné		Domaine des barres	Bois de la ferne	Moliard	Parmain	DIPTERA			DIPTERA	DIPTERA Linnaeus, 1758				51					57		192183	139507
