"ORIG"	"DAT1"	"DAT2"	"cond_memo"	"stat_memo"	"LOCA"	"TOPO"	"REC"	"DET"	"Ordre"	"Famille"	"Sous_Famille"	"Espece"	"Espece_bis"	"GEN"	"SP"	"spec_memo"	"Abondance"	"Parcelle"	"Numero_de_piege"	"Type_piege"	"CPI"	"Numero_de_projet"	"Numero_arbre"	"COND_ID"	"STAT_ID"
deg 47.23222 2.174727	20240801	20240915	"R5;THERA2024/370"	"Lind noir Canopee superieure;VZ63_T_2"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	63	2	lind	Noir	56	13	191286	139471
deg 46.66718 2.798198	20240801	20240915	"R5;THERA2024/328"	"Lind noir Infra canopee;TR43_T_4"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	43	4	lind	Noir	56	2	191244	139429
deg 47.23222 2.174727	20240801	20240915	"R5;THERA2024/372"	"Lind noir Infra canopee;VZ63_T_4"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	63	4	lind	Noir	56	13	191288	139473
deg 46.61626 2.734444	20240801	20240915	"R5;THERA2024/339"	"Lind noir Canopee inferieure;TR315_TE_3"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	315	3	lind	Noir	56	5	191255	139440
deg 46.61626 2.734444	20240801	20240915	"R5;THERA2024/337"	"Lind noir Supra canopee;TR315_TE_1"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	315	1	lind	Noir	56	5	191253	139438
deg 47.23222 2.174727	20240801	20240915	"R5;THERA2024/371"	"Lind noir Canopee inferieure;VZ63_T_3"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	63	3	lind	Noir	56	13	191287	139472
deg 46.66718 2.798198	20240801	20240915	"R5;THERA2024/325"	"Lind noir Supra canopee;TR43_T_1"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	43	1	lind	Noir	56	2	191241	139426
deg 47.26687 2.196874	20240801	20240915	"R5;THERA2024/362"	"Lind noir Canopee superieure;VZ81 Vouzeron_T_2"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	81	2	lind	Noir	56	11	191278	139463
deg 46.66718 2.798198	20240801	20240915	"R5;THERA2024/326"	"Lind noir Canopee superieure;TR43_T_2"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	43	2	lind	Noir	56	2	191242	139427
deg 46.66718 2.798198	20240801	20240915	"R5;THERA2024/327"	"Lind noir Canopee inferieure;TR43_T_3"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	43	3	lind	Noir	56	2	191243	139428
deg 47.26624 2.056827	20240801	20240915	"R5;THERA2024/395"	"Lind noir Canopee inferieure;VZ270_TE_3"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	270	3	lind	Noir	56	19	191311	139496
deg 47.24953 2.183789	20240405	20240502	"R1;THERA2024/45"	"Lind noir Supra canopee;VZ22_T_1"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	22	1	lind	Noir	56	12	190961	139466
deg 47.26861 2.081451	20240404	20240502	"R1;THERA2024/67"	"Lind noir Canopee inferieure;VZ236_TE_3"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	236	3	lind	Noir	56	17	190983	139488
deg 47.26861 2.081451	20240404	20240502	"R1;THERA2024/66"	"Lind noir Canopee superieure;VZ236_TE_2"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	236	2	lind	Noir	56	17	190982	139487
deg 47.26861 2.081451	20240404	20240502	"R1;THERA2024/65"	"Lind noir Supra canopee;VZ236_TE_1"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	236	1	lind	Noir	56	17	190981	139486
deg 46.66718 2.798198	20240502	20240603	"R2;THERA2024/86"	"Lind noir Canopee superieure;TR43_T_2"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	43	2	lind	Noir	56	2	191002	139427
deg 46.6001 2.673761	20240403	20240502	"R1;THERA2024/40"	"Lind noir Infra canopee;TR413_T_4"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	413	4	lind	Noir	56	10	190956	139461
deg 46.68164 2.832132	20240403	20240502	"R1;THERA2024/01"	"Lind noir Supra canopee;TR19_TE_1"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	19	1	lind	Noir	56	1	190917	139422
deg 46.61481 2.719873	20240502	20240603	"R2;THERA2024/104"	"Lind noir Infra canopee;TR327_T_4"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	327	4	lind	Noir	56	6	191020	139445
deg 46.63988 2.768873	20240402	20240502	"R1;THERA2024/14"	"Lind noir Canopee superieure;TR207_TE_2"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	207	2	lind	Noir	56	4	190930	139435
deg 47.24953 2.183789	20240405	20240502	"R1;THERA2024/46"	"Lind noir Canopee superieure;VZ22_T_2"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	22	2	lind	Noir	56	12	190962	139467
deg 46.58879 2.705986	20240403	20240502	"R1;THERA2024/33"	"Lind noir Supra canopee;TR368_TE_1"	Troncais		R.Balvay	Parmain				INSECTA	INSECTA .				0	368	1	lind	Noir	56	9	190949	139454
deg 47.23222 2.174727	20240502	20240603	"R2;THERA2024/131"	"Lind noir Canopee inferieure;VZ63_T_3"	Vierzon		R.Balvay	Parmain				INSECTA	INSECTA .				0	63	3	lind	Noir	56	13	191047	139472
