LOCA	parcelle	num.tree2	num.trap	id.trap	strate	prop.trap.season	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	ab.colsxrsx	sr.colsxrsx
Troncais	413	10	1	Troncais101	supra 	0.597143964	110	31	5	4	98	23	28	7	42	12	7	2	0	0	102	28	44	10	2	2	37	8	29	11	25	4	17	6	0	0	2.175636364	1.479090909	2.887272727	3.921818182	0.505734895	0.340179537	0.86668899	0.360485422	0	0
Troncais	413	10	2	Troncais102	intra.sup	0.57112528	148	52	37	7	95	38	29	12	59	17	12	3	0	0	129	46	63	18	8	4	34	9	24	12	40	15	42	12	2	2	2.048918919	1.495608108	2.755	5.148648649	0.628074685	0.441014645	0.847960097	0.530739713	0	0
Troncais	413	10	3	Troncais103	intra.inf	0.628428143	165	53	17	4	99	45	49	13	98	22	11	5	2	1	141	43	47	16	15	6	76	12	10	7	33	18	32	11	5	4	2.237939394	1.731454545	3.079575758	4.231515152	0.58793595	0.721625444	0.6375012	0.432408597	1	1
Troncais	413	10	4	Troncais104	infra 	0.531948882	119	44	3	2	87	37	34	14	66	17	5	2	1	1	104	39	26	14	10	3	47	10	27	9	18	14	16	7	2	2	2.278403361	1.738403361	2.808655462	4.273109244	0.637441964	0.732607741	0.729913501	0.445868507	0	0
Troncais	19	1	1	Troncais11	supra 	0.862216604	214	67	16	8	160	55	49	14	97	22	10	4	1	1	199	62	49	15	6	2	72	14	57	18	38	19	41	14	0	0	2.108411215	1.579766355	2.643224299	5.227102804	0.613847345	0.676109552	0.739044595	0.572306574	2	2
Troncais	19	1	2	Troncais12	intra.sup	0.894842216	416	84	50	10	293	70	72	19	141	25	14	5	13	3	393	74	90	22	11	6	86	13	141	23	80	24	87	16	5	4	2.209663462	1.511778846	2.540625	6.595673077	0.62333009	0.576377268	0.775808833	0.784165539	2	2
Troncais	19	1	3	Troncais13	intra.inf	0.848031664	291	72	31	8	194	59	48	17	153	24	21	5	4	4	261	63	44	17	10	5	82	14	107	19	47	20	49	14	7	3	2.285601375	1.597869416	2.658350515	4.481786942	0.681046469	0.585056262	0.83330498	0.507311055	3	2
Troncais	19	1	4	Troncais14	infra 	0.794968051	262	52	13	5	206	43	11	9	187	22	10	5	2	2	246	43	21	9	6	4	51	12	154	13	24	12	29	12	3	2	2.037824427	1.581526718	2.310839695	3.073282443	0.518232055	0.42850323	0.544268783	0.275304593	0	0
Troncais	43	2	1	Troncais21	supra 	0.73492736	233	57	23	4	193	50	34	10	96	19	25	4	3	2	189	50	75	19	20	4	69	10	63	19	27	13	52	10	4	2	2.170515021	1.448583691	2.530686695	5.145493562	0.666999596	0.413982898	0.87826181	0.552686039	2	2
Troncais	43	2	2	Troncais22	intra.sup	0.404130527	91	35	14	2	66	30	21	8	42	11	7	3	0	0	72	30	41	11	12	2	24	6	17	10	16	9	21	7	1	1	2.161318681	1.473076923	2.837582418	4.447252747	0.558963913	0.317707173	0.791589011	0.372350811	0	0
