id.trap	massif	num.releve	num.tree2	num.trap	Parcelle	strate	id.trap.releve	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	id.trap.releve
Troncais101	Troncais	R2	10	1	413	supra	Troncais101R2	55	19	2	1	50	16	23	4	13	8	6	2	0	0	48	16	35	8	1	1	10	5	15	8	21	2	8	3	0	0	1.994545455	1.469090909	3.006363636	3.629090909	0.489617142	0.389782386	1.050714468	0.256220537	Troncais101R2
Troncais101	Troncais	R3	10	1	413	supra	Troncais101R3	55	19	3	3	48	13	5	4	29	7	1	1	0	0	54	18	9	3	1	1	27	5	14	7	4	3	9	3	0	0	2.356727273	1.489090909	2.768181818	4.214545455	0.426086087	0.297617093	0.68904242	0.466571084	Troncais101R3
Troncais102	Troncais	R2	10	2	413	intra.sup	Troncais102R2	77	29	29	5	39	20	16	7	24	11	4	2	0	0	69	25	52	14	4	2	12	5	9	6	19	9	33	7	1	1	2.058181818	1.514935065	3.021038961	4.694805195	0.462485461	0.324100246	0.77368515	0.408364867	Troncais102R2
Troncais102	Troncais	R3	10	2	413	intra.sup	Troncais102R3	71	37	8	4	56	28	13	9	35	13	8	2	0	0	60	33	11	8	4	3	22	8	15	9	21	10	9	7	1	1	2.038873239	1.474647887	2.466478873	5.64084507	0.811258696	0.587151356	0.758111901	0.65249868	Troncais102R3
Troncais103	Troncais	R2	10	3	413	intra.inf	Troncais103R2	93	28	15	2	54	23	35	9	56	13	4	2	0	0	80	24	36	10	9	2	40	7	6	4	20	10	18	5	1	1	2.193978495	1.740537634	3.072365591	3.412903226	0.43602424	0.743686971	0.678326369	0.222728458	Troncais103R2
Troncais103	Troncais	R3	10	3	413	intra.inf	Troncais103R3	72	35	2	2	45	30	14	9	42	13	7	4	2	1	61	28	11	8	6	4	36	10	4	4	13	10	14	8	4	3	2.294722222	1.719722222	3.088888889	5.288888889	0.770354001	0.698497678	0.588070285	0.686052511	Troncais103R3
Troncais104	Troncais	R2	10	4	413	infra	Troncais104R2	66	34	2	1	48	28	25	11	32	11	2	2	1	1	56	29	23	13	8	3	22	8	11	6	14	10	10	6	2	2	2.279393939	1.752878788	2.96030303	4.603030303	0.668099497	0.742453751	0.744651699	0.423104292	Troncais104R2
Troncais104	Troncais	R3	10	4	413	infra	Troncais104R3	53	21	1	1	39	17	9	5	34	13	3	2	0	0	48	18	3	2	2	1	25	8	16	6	4	4	6	2	0	0	2.277169811	1.720377358	2.619811321	3.862264151	0.599270927	0.717098642	0.672511755	0.452259574	Troncais104R3
Troncais11	Troncais	R2	1	1	19	supra	Troncais11R2	51	26	5	3	44	22	17	5	17	9	2	2	0	0	45	23	24	8	4	1	10	6	7	5	20	7	10	7	0	0	1.931176471	1.494117647	3.048431373	4.858823529	0.688676595	0.252342059	0.730827253	0.408944514	Troncais11R2
Troncais11	Troncais	R3	1	1	19	supra	Troncais11R3	54	27	4	4	41	20	5	5	29	13	8	4	0	0	45	22	11	7	1	1	24	9	7	5	8	6	14	6	0	0	2.16	1.45	2.60462963	5.909259259	0.766318682	0.569180837	0.821841749	0.774317503	Troncais11R3
Troncais11	Troncais	R4	1	1	19	supra	Troncais11R4	48	18	5	3	27	13	3	2	8	4	0	0	0	0	48	18	11	3	0	0	6	2	23	7	6	6	13	3	0	0	2.201875	1.436458333	2.473958333	5.95	0.601790091	0.242223981	0.721626852	0.63502752	Troncais11R4
Troncais11	Troncais	R5	1	1	19	supra	Troncais11R5	61	23	2	2	48	17	24	5	43	10	0	0	1	1	61	23	3	2	1	1	32	7	20	8	4	3	4	4	0	0	2.137377049	1.879016393	2.471803279	4.362295082	0.381211209	1.180203121	0.489476625	0.413621162	Troncais11R5
Troncais12	Troncais	R2	1	2	19	intra.sup	Troncais12R2	141	37	33	4	87	29	17	11	43	12	2	1	12	3	134	33	54	14	5	3	27	6	36	9	19	10	42	6	2	2	2.094964539	1.576241135	2.717801418	5.388652482	0.356891207	0.579343368	0.880432746	0.549573232	Troncais12R2
Troncais12	Troncais	R3	1	2	19	intra.sup	Troncais12R3	97	37	8	5	78	30	24	8	39	14	5	4	0	0	89	30	20	8	4	4	25	10	17	9	30	8	23	8	2	2	2.263092784	1.430927835	2.645463918	8.053608247	0.912610603	0.488709117	0.809721802	0.947073446	Troncais12R3
Troncais12	Troncais	R4	1	2	19	intra.sup	Troncais12R4	92	32	6	3	55	26	8	5	19	9	6	3	0	0	85	28	8	5	2	2	14	5	44	11	17	9	16	6	1	1	2.199021739	1.417391304	2.300978261	6.252173913	0.734484423	0.471789856	0.583309566	0.764799268	Troncais12R4
Troncais12	Troncais	R5	1	2	19	intra.sup	Troncais12R5	86	29	3	2	73	25	23	6	40	9	1	1	1	1	85	28	8	4	0	0	20	4	44	11	14	8	6	4	0	0	2.348837209	1.598255814	2.388255814	7.297674419	0.518028856	0.916648913	0.589428248	0.912408662	Troncais12R5
Troncais13	Troncais	R2	1	3	19	intra.inf	Troncais13R2	85	31	9	2	55	26	30	10	42	11	5	4	1	1	77	24	35	14	3	3	26	9	10	6	25	7	21	6	2	2	2.375764706	1.644588235	3.193294118	4.488235294	0.629125791	0.515481231	0.83205573	0.443383609	Troncais13R2
