"placette";"date";"heure_debut";"heure_fin";"rq_placette";"transect";"rq_transect";"pts_libres_15m";"pts_libres_25m";"arbustive_15m";"arbustive_25m";"arboree_15m";"arboree_25m";"BMS_classe_diametre.cm";"BMS_sd_saprox";"BMS_sp";"BMS_contact_sol";"quart";"rq_quart";"Cat_arbre";"note_DEPERIS";"BM";"MR";"diam";"BMP_sd_saprox";"BMP_sp";"H_arbre_mort.m";"code_DMH";"quart_abg";"num_arbre";"vol_BMP.m2";"effectif";"DMH";"strate"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;20;NA;"charme";NA;"DE12h";"NE";"T_118_NE.5";"";1;"DE12";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;55;NA;"chene sessile";NA;"GR12t";"NE";"T_118_NE.7";"";1;"GR12";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;35;NA;"chene sessile";NA;"EX11t";"NE";"T_118_NE.9";"";1;"EX11";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;35;NA;"chene sessile";NA;"CV22t";"NE";"T_118_NE.9";"";1;"CV22";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;35;NA;"chene sessile";NA;"DE12h";"NE";"T_118_NE.9";"";1;"DE12";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;20;NA;"charme";NA;"GR12t";"NE";"T_118_NE.10";"";1;"GR12";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;20;NA;"charme";NA;"DE12h";"NE";"T_118_NE.10";"";1;"DE12";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;45;NA;"chene sessile";NA;"EP22p";"NE";"T_118_NE.15";"";1;"EP22";"p"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;45;NA;"chene sessile";NA;"DE11h";"NE";"T_118_NE.15";"";1;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;55;NA;"chene sessile";NA;"DE11h";"NE";"T_118_NE.17";"";1;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"T_118_2";"D";NA;NA;68;NA;"";15;"1CV22h";"NE";"T_118_2";"0.1845685683984";1;"CV22";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"T_118_2";"D";NA;NA;68;NA;"";15;"1CV22t";"NE";"T_118_2";"0.1845685683984";1;"CV22";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"T_118_2";"D";NA;NA;68;NA;"";15;"1CV31h";"NE";"T_118_2";"0.1845685683984";1;"CV31";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"T_118_2";"D";NA;NA;68;NA;"";15;"1CV44p";"NE";"T_118_2";"0.1845685683984";1;"CV44";"p"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"T_118_2";"D";NA;NA;68;NA;"";15;"5DE11h";"NE";"T_118_2";"0.1845685683984";5;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"D";NA;NA;65;NA;"chene sessile";NA;"IN11h";"NE";"T_118_NE.22";"";1;"IN11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"D";NA;NA;65;NA;"chene sessile";NA;"2IN13t";"NE";"T_118_NE.22";"";2;"IN13";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"D";NA;NA;65;NA;"chene sessile";NA;"IN14t";"NE";"T_118_NE.22";"";1;"IN14";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"D";NA;NA;65;NA;"chene sessile";NA;"IN11t";"NE";"T_118_NE.22";"";1;"IN11";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"D";NA;NA;65;NA;"chene sessile";NA;"CV22h";"NE";"T_118_NE.22";"";1;"CV22";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"D";NA;NA;65;NA;"chene sessile";NA;"CV31h";"NE";"T_118_NE.22";"";1;"CV31";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"D";NA;NA;65;NA;"chene sessile";NA;"DE11h";"NE";"T_118_NE.22";"";1;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;25;NA;"charme";NA;"SE11t";"ES";"T_118_ES.2";"";1;"SE11";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;25;NA;"charme";NA;"CV21p";"ES";"T_118_ES.2";"";1;"CV21";"p"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;25;NA;"charme";NA;"GR12t";"ES";"T_118_ES.2";"";1;"GR12";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;30;NA;"chene sessile";NA;"DE11h";"ES";"T_118_ES.3";"";1;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;30;NA;"chene sessile";NA;"GR12t";"ES";"T_118_ES.3";"";1;"GR12";"t"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;40;NA;"chene sessile";NA;"2DE11h";"ES";"T_118_ES.4";"";2;"DE11";"h"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Est-Sud";"";"V";"";NA;NA;40;NA;"chene sessile";NA;"DE11t";"ES";"T_118_ES.4";"";1;"DE11";"t"
