"placette","massif","plot","total","deperissant","pct_deperissant","NB_arbres","nb_Mort","Taux_M_total","Taux_M_chene","nb_chenes","note1","note2","Etat"
"T_19","Troncais",19,4,3,75,46,1,2.17391304347826,0,18,8.69565217391304,18.8405797101449,"depe -"
"T_43","Troncais",43,4,3,75,55,3,5.45454545454545,0,21,10.9090909090909,19.7402597402597,"depe --"
"T_118","Troncais",118,4,4,100,80,1,1.25,0,34,6.25,13.0147058823529,"depe -"
"T_207","Troncais",207,4,3,75,50,1,2,0,26,8,13.5384615384615,"depe -"
"T_315","Troncais",315,3,3,100,55,2,3.63636363636364,0,23,9.09090909090909,16.6798418972332,"depe -"
"T_327","Troncais",327,4,4,100,65,3,4.61538461538462,0,12,10.7692307692308,37.9487179487179,"depe +/-"
"T_337","Troncais",337,1,1,100,51,6,11.7647058823529,0,19,13.7254901960784,17.0278637770898,"depe +"
"T_350","Troncais",350,4,4,100,54,9,16.6666666666667,10,20,24.0740740740741,36.6666666666667,"depe +"
"T_368","Troncais",368,4,3,75,59,10,16.9491525423729,0,21,22.0338983050847,31.2348668280872,"depe +"
"T_413","Troncais",413,4,4,100,44,4,9.09090909090909,0,10,18.1818181818182,49.0909090909091,"depe ++"
"V_22","Vierzon",22,4,2,50,72,14,19.4444444444444,0,25,22.2222222222222,27.4444444444444,NA
"V_63","Vierzon",63,4,0,0,117,3,2.56410256410256,3.50877192982456,57,2.56410256410256,2.56410256410256,NA
"V_71","Vierzon",71,4,2,50,87,3,3.44827586206897,6.89655172413793,29,5.74712643678161,10.3448275862069,NA
"V_81","Vierzon",81,4,3,75,66,1,1.51515151515152,2,50,6.06060606060606,7.51515151515152,"depe --"
"V_170","Vierzon",169,4,3,75,71,9,12.6760563380282,6.97674418604651,43,16.9014084507042,19.6528005240747,NA
"V_179","Vierzon",179,4,2,50,46,10,21.7391304347826,9.09090909090909,22,26.0869565217391,30.8300395256917,"depe ++"
"V_236","Vierzon",236,4,0,0,105,3,2.85714285714286,0,25,2.85714285714286,2.85714285714286,"depe +"
"V_249","Vierzon",249,4,2,50,58,2,3.44827586206897,0,24,6.89655172413793,11.7816091954023,"depe +"
"V_270","Vierzon",270,4,0,0,53,3,5.66037735849057,2.77777777777778,36,5.66037735849057,5.66037735849057,NA
"V_290","Vierzon",290,4,3,75,79,1,1.26582278481013,2.4390243902439,41,5.06329113924051,8.58289595554183,"depe +/-"
