"id_arbre";"KEY2";"massif";"plot";"num_arbre";"X_L93";"Y_L93";"alt_L93";"precision_GPS";"carte_etat.major";"coupe_annee";"coupe_code";"classement";"dist_arbre1.m";"sp";"config_arbre";"nb_brins_decrit";"etat_arbre";"note_DEPERIS";"nb_branches_coupees";"H_bas_houppier.m";"L_houppier.m";"DBH.cm";"H_arbre.m";"methode_H";"date";"etat_ciel";"grimpeur";"duree_install.min";"duree_up.min";"duree_down.min";"duree_inventaire.min";"rq_install";"TreMs_type";"subtype";"H_TreMs";"type_related";"group_related";"rq_obs";"rapport_h_TreMs";"strate";"rq_obs_simpl";"rq_obs_simpl2";"f_elancement";"note_DEPERIS_simpl";"vol_BMP.m2";"label_fr";"morphologie";"position_gravitaire";"trait_saprox";"saproxylic_qui_est";"taille";"RS_subtype";"RS_type";"RS_groupe";"Ab_DMH_O"
"T_118_1";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[2]";"Troncais";118;1;2.73103100247681;46.6697819810361;255.567642;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";4;15.8;20.2;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Guilhem";NA;3;18;21;"";"*1022 *1121 *1051 *1071";10221111;25.5;1022;102;"V";70.8333333333333;"h2";"V";"PV";52.9411764705882;"deperissant";0.0510508806208341;"Cavite a terreau de tronc";"concave";"lateral";5;"saprox";"petit";7;4;4;7
"T_118_1";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[2]";"Troncais";118;1;2.73103100247681;46.6697819810361;255.567642;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";4;15.8;20.2;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Guilhem";NA;3;18;21;"";"*1022 *1121 *1051 *1071";10221211;22.5;1022;102;"O";62.5;"h1";"OP";"O";52.9411764705882;"deperissant";0.0510508806208341;"Cavite a terreau de tronc";"concave";"lateral";5;"saprox";"petit";7;4;4;7
"T_118_1";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[2]";"Troncais";118;1;2.73103100247681;46.6697819810361;255.567642;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";4;15.8;20.2;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Guilhem";NA;3;18;21;"";"*1022 *1121 *1051 *1071";10221212;17;1022;102;"V";47.2222222222222;"h1";"V";"PV";52.9411764705882;"deperissant";0.0510508806208341;"Cavite a terreau de tronc";"concave";"lateral";5;"saprox";"petit";7;4;4;7
"T_118_1";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[2]";"Troncais";118;1;2.73103100247681;46.6697819810361;255.567642;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";4;15.8;20.2;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Guilhem";NA;3;18;21;"";"*1022 *1121 *1051 *1071";10221311;22.5;1022;102;"O";62.5;"h1";"OP";"O";52.9411764705882;"deperissant";0.0510508806208341;"Cavite a terreau de tronc";"concave";"lateral";5;"saprox";"petit";7;4;4;7
"T_118_1";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[2]";"Troncais";118;1;2.73103100247681;46.6697819810361;255.567642;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";4;15.8;20.2;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Guilhem";NA;3;18;21;"";"*1022 *1121 *1051 *1071";10511211;26;1051;105;"P";72.2222222222222;"h2";"OP";"PV";52.9411764705882;"deperissant";0.0510508806208341;"Bois sans ecorce";"plat";"lateral";5;"saprox";"petit";7;4;4;7
"T_118_1";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[2]";"Troncais";118;1;2.73103100247681;46.6697819810361;255.567642;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";4;15.8;20.2;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Guilhem";NA;3;18;21;"";"*1022 *1121 *1051 *1071";10711111;25;1071;107;"V";69.4444444444444;"h2";"V";"PV";52.9411764705882;"deperissant";0.0510508806208341;"Branches mortes";"convexe";"lateral";5;"saprox";"grand";7;4;4;7
"T_118_1";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[2]";"Troncais";118;1;2.73103100247681;46.6697819810361;255.567642;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";4;15.8;20.2;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Guilhem";NA;3;18;21;"";"*1022 *1121 *1051 *1071";11211111;36;1121;112;"V";100;"h3";"V";"PV";52.9411764705882;"deperissant";0.0510508806208341;"Bryophyte (mousse ou hepatique)";"convexe";"lateral";0;"non_saprox";"grand";7;4;4;7
"T_118_2";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[1]";"Troncais";118;2;2.73100703023374;46.6698529757559;254.037415;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";NA;15;21;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Adelie";23;14;17;31;"";"*1022 *1031 *1044 *1071";10221111;22.5;1022;102;"O";62.5;"h2";"OP";"O";52.9411764705882;"deperissant";0.1845685683984;"Cavite a terreau de tronc";"concave";"lateral";5;"saprox";"petit";5;4;4;9
"T_118_2";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[1]";"Troncais";118;2;2.73100703023374;46.6698529757559;254.037415;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";NA;15;21;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Adelie";23;14;17;31;"";"*1022 *1031 *1044 *1071";10221212;12;1022;102;"P";33.3333333333333;"2t2";"OP";"PV";52.9411764705882;"deperissant";0.1845685683984;"Cavite a terreau de tronc";"concave";"lateral";5;"saprox";"petit";5;4;4;9
"T_118_2";"uuid:ee7d10ba-52d8-4f2d-9b5a-ec93aefb27de/emplacement[1]";"Troncais";118;2;2.73100703023374;46.6698529757559;254.037415;NA;"foret";NA;"";"";NA;"Quercus_petraea";"franc_pied";NA;"vivant";"D";NA;15;21;68;36;"Vertex";"17/04/2024";"nuageux & ensoleille";"Adelie";23;14;17;31;"";"*1022 *1031 *1044 *1071";10311113;20;1031;103;"V";55.5555555555556;"h1";"V";"PV";52.9411764705882;"deperissant";0.1845685683984;"Orifices et galeries creusees par des insectes ";"concave";"lateral";5;"saprox";"petit";5;4;4;9
