id_arbre;DBH_BMP;id_branche;diam_BMP.cm;diam_BMP.m;long_BMP.m;sd_saprox_BMP;H_BMP.m;Rq
T_118_1;68;1;5;0.05;8;3;9;
T_118_1;68;2;5;0.05;2;4;21;
T_118_1;68;3;5;0.05;2;2;25;
T_118_1;68;4;5;0.05;2;1;24;
T_118_1;68;5;5;0.05;1;3;30.5;
T_118_1;68;6;5;0.05;1;3;26.5;
T_118_1;68;7;5;0.05;5;1;27;
T_118_1;68;8;5;0.05;1;2;30.5;
T_118_1;68;9;10;0.1;1;3;25;
T_118_2;68;1;10;0.1;2;4;18.5;
T_118_2;68;2;5;0.05;1;4;20;
T_118_2;68;3;5;0.05;1;2;24.5;
T_118_2;68;4;5;0.05;1;2;24;
T_118_2;68;5;5;0.05;2;2;25;
T_118_2;68;6;10;0.1;3;2;25.5;
T_118_2;68;7;10;0.1;1;2;27.5;
T_118_2;68;8;5;0.05;3;2;27.5;
T_118_2;68;9;10;0.1;3;3;28;
T_118_2;68;10;10;0.1;4;3;28;
T_118_2;68;11;5;0.05;1;3;25;
T_118_2;68;12;5;0.05;1;3;30;
T_118_2;68;13;10;0.1;4;3;28;
T_118_2;68;14;10;0.1;4;2;31.5;
T_118_3;62;1;15;0.15;1;4;18;
T_118_3;62;2;5;0.05;1;2;31.5;
T_118_3;62;3;5;0.05;2;2;31.5;
T_118_3;62;4;5;0.05;3;1;28.5;
T_118_3;62;5;10;0.1;2;2;27.5;
T_118_3;62;6;10;0.1;5;2;28;
T_118_3;62;7;5;0.05;1;3;28;
T_118_3;62;8;5;0.05;1;4;17.5;
T_118_3;62;9;10;0.1;3;2;27.5;
T_118_3;62;10;5;0.05;2;3;28;
T_118_4;52;1;5;0.05;3;4;14;
T_118_4;52;2;5;0.05;2;3;17.5;
T_118_4;52;3;10;0.1;4;2;22.5;
T_118_4;52;4;15;0.15;6;3;27.5;
T_118_4;52;5;15;0.15;4;2;26.5;
T_118_4;52;6;10;0.1;6;4;17.5;
T_118_4;52;7;10;0.1;3;2;24.5;
T_118_4;52;8;5;0.05;1;3;26.5;
T_118_4;52;9;5;0.05;1;2;26.5;
T_118_4;52;10;15;0.15;4;2;26;
T_118_4;52;11;15;0.15;9;2;22.5;
T_118_4;52;12;15;0.15;8;2;25;
T_118_4;52;13;10;0.1;7;2;NA;
T_19_1;102;1;10;0.1;2;2;30;
T_19_1;102;2;5;0.05;2;2;36;
T_19_1;102;3;15;0.15;1;2;33;
T_19_1;102;4;15;0.15;1;3;27.5;
T_19_1;102;5;10;0.1;2;4;19;
T_19_1;102;6;15;0.15;1;3;24;
T_19_1;102;7;5;0.05;4;4;25;
T_19_1;102;8;10;0.1;4;3;30;
T_19_2;72;1;15;0.15;2;4;35;
T_19_2;72;2;10;0.1;1;3;37;
T_19_2;72;3;10;0.1;1;3;38;
