placette;date;heure_debut;heure_fin;rq_placette;transect;rq_transect;pts_libres_15m;pts_libres_25m;arbustive_15m;arbustive_25m;arboree_15m;arboree_25m;BMS_classe_diametre.cm;BMS_sd_saprox;BMS_sp;BMS_contact_sol;quart;rq_quart;Cat_arbre;note_DEPERIS;BM;MR;diam;BMP_sd_saprox;BMP_sp;H_arbre_mort.m;code_DMH;code_DMH2;code_DMH3;code_DMH4;code_DMH5;code_DMH6;code_DMH7;code_DMH8;code_DMH9
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Nord;;8;;1;1;1;1;5;4;INC;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Nord;;8;;1;1;1;1;10;5;INC;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Nord;;8;;1;1;1;1;5;4;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Nord;;8;;1;1;1;1;5;4;HET;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Nord;;8;;1;1;1;1;10;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;30;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;10;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;20;;charme;;DE12h;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;45;;chene pedoncule;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;55;;chene sessile;;GR12t;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;35;;chene sessile;;EX11t;CV22t;DE12h;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;20;;charme;;GR12t;DE12h;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;45;;chene sessile;;EP22p;DE11h;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;10;;hetre;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;55;;chene sessile;;DE11h;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;T_118_2;D;;;68;;;15;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;D;;;65;;chene sessile;;IN11h;2IN13t;IN14t;IN11t;CV22h;CV31h;DE11h;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Nord-Est;;V;;;;25;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Est;;1;;1;1;1;1;5;2;HET;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Est;;1;;1;1;1;1;5;3;INC;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Est;;1;;1;1;1;1;10;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Est;;1;;1;1;1;1;5;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Est;;1;;1;1;1;1;5;5;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;25;;charme;;SE11t;CV21p;GR12t;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;30;;chene sessile;;DE11h;GR12t;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;40;;chene sessile;;2DE11h;DE11t;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;10;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;10;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;S;;;;20;2;charme;1,5;CV25;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;35;;chene sessile;;IN14t;3DE11h;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;20;;charme;;GR12p;GR12t;IN11p;IN21h;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;40;;chene sessile;;SE32t;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;34;;chene sessile;;CV22h;IN11h;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;25;;charme;;GR12p;GR12t;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;30;;chene sessile;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;30;;chene sessile;;IN14t;GR12t;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;30;;chene sessile;;GR12t;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;20;;chene sessile;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;40;;chene sessile;;DE11t;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;M;;;;14;2;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Est-Sud;;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;4;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;30;4;INC;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;3;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;3;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;3;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;3;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;3;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;2;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;2;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;2;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;2;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;10;1;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;10;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;10;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;10;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;2;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;10;2;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;2;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;2;CHE;Oui;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;Sud;;17;;0;1;1;0;5;1;CHE;Non;;;;;;;;;;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;T_118_3;E;;;62;;;17,5;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;T_118_4;E;;;52;;;15;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;10;;hetre;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;15;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;20;;chene sessile;;DE12h;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;20;;hetre;;IN21h;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;40;;chene sessile;;DE11h;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;20;;charme;;;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;65;;chene sessile;;3DE11h;;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;25;;hetre;;DE12h;CV22h;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;25;;hetre;;IN11p;SE11t;;;;;;;
T_118;19/06/2024;10:42;12:40;ciel nuageux et bleu;;;;;;;;;;;;;Sud-Ouest;piste de debardage;V;;;;30;;hetre;;DE12h;CV22h;SE11t;;;;;;
