"placette","div_DMH","density_CV21","density_CV22","density_CV25","density_CV31","density_CV44","density_DE11","density_DE12","density_DE13","density_EP22","density_EX11","density_GR12","density_IN11","density_IN13","density_IN14","density_IN21","density_SE11","density_SE32","density_CV11","density_CV12","density_CV14","density_CV41","density_DE10","density_IN22","density_IN23","density_CV13","density_EP21","density_GR21","density_SE13","density_SE21","density_CV23","density_CV42","density_GR22","density_SE22","density_EP23","density_EP11","density_CV24","density_CV26","density_SE12","GR11","SE14","ouverture_pc","encombrement_arbust","encombrement_arbo","coef_Gini","BMS_Wagner.m3ha"
"T_118",17,3.53677651315323,63.6619772367581,3.53677651315323,21.2206590789194,3.53677651315323,148.544613552436,24.7574355920726,3.53677651315323,3.53677651315323,3.53677651315323,38.9045416446855,24.7574355920726,14.1471060526129,10.6103295394597,7.07355302630646,14.1471060526129,3.53677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.875,0.75,0.230747267389506,26.7301785862837
"T_19",22,7.07355302630646,60.1252007236049,3.53677651315323,17.6838825657662,31.8309886183791,173.302049144508,7.07355302630646,24.7574355920726,0,3.53677651315323,7.07355302630646,3.53677651315323,45.978094670992,45.978094670992,7.07355302630646,7.07355302630646,0,3.53677651315323,7.07355302630646,3.53677651315323,3.53677651315323,10.6103295394597,7.07355302630646,10.6103295394597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.82,0.375,0.5,0.195276143315984,14.9072149808121
"T_207",20,0,81.3458598025243,0,0,45.978094670992,116.713624934057,3.53677651315323,17.6838825657662,3.53677651315323,0,53.0516476972984,49.5148711841452,49.5148711841452,14.1471060526129,0,63.6619772367581,3.53677651315323,0,3.53677651315323,0,10.6103295394597,0,7.07355302630646,3.53677651315323,3.53677651315323,3.53677651315323,3.53677651315323,21.2206590789194,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.375,0.875,0.194774826104503,30.8425137534043
"T_315",15,3.53677651315323,38.9045416446855,3.53677651315323,0,21.2206590789194,137.934284012976,10.6103295394597,7.07355302630646,0,0,28.2942121052258,14.1471060526129,14.1471060526129,3.53677651315323,0,28.2942121052258,0,0,0,0,3.53677651315323,0,7.07355302630646,0,0,0,0,0,3.53677651315323,0,0,0,0,0,0,0,0,0,0,0,8.84,0.25,1,0.153330540427315,24.4169900547784
"T_327",26,0,60.1252007236049,3.53677651315323,24.7574355920726,21.2206590789194,77.8090832893711,3.53677651315323,10.6103295394597,3.53677651315323,10.6103295394597,28.2942121052258,17.6838825657662,24.7574355920726,7.07355302630646,10.6103295394597,60.1252007236049,3.53677651315323,0,3.53677651315323,0,3.53677651315323,0,7.07355302630646,3.53677651315323,0,3.53677651315323,0,7.07355302630646,0,3.53677651315323,3.53677651315323,3.53677651315323,3.53677651315323,0,0,0,0,0,0,0,1.04,0.875,1,0.300866516995549,9.50977507396631
"T_337",22,24.7574355920726,67.1987537499114,7.07355302630646,42.4413181578388,17.6838825657662,201.596261249734,10.6103295394597,38.9045416446855,7.07355302630646,7.07355302630646,17.6838825657662,3.53677651315323,67.1987537499114,17.6838825657662,10.6103295394597,56.5884242104517,7.07355302630646,0,3.53677651315323,7.07355302630646,0,0,0,10.6103295394597,0,0,0,0,7.07355302630646,0,0,0,0,7.07355302630646,0,0,0,0,0,0,12.74,0.625,1,0.246103547296615,49.3480220054468
"T_350",19,0,35.3677651315323,0,21.2206590789194,24.7574355920726,145.007837039282,14.1471060526129,3.53677651315323,0,0,17.6838825657662,28.2942121052258,28.2942121052258,21.2206590789194,0,24.7574355920726,3.53677651315323,3.53677651315323,3.53677651315323,0,3.53677651315323,0,0,10.6103295394597,0,3.53677651315323,0,0,0,3.53677651315323,0,0,0,0,14.1471060526129,0,0,0,0,0,10.7466666666667,0.285714285714286,0.571428571428571,0.194745743377623,134.935997671144
"T_368",20,0,21.2206590789194,3.53677651315323,24.7574355920726,56.5884242104517,116.713624934057,24.7574355920726,21.2206590789194,0,3.53677651315323,3.53677651315323,0,24.7574355920726,7.07355302630646,3.53677651315323,10.6103295394597,10.6103295394597,0,7.07355302630646,0,0,21.2206590789194,0,7.07355302630646,0,3.53677651315323,0,0,3.53677651315323,0,17.6838825657662,0,0,0,0,0,0,0,0,0,28.73,0.25,0.875,0.213498019244377,45.2356868383262
"T_413",19,0,38.9045416446855,3.53677651315323,14.1471060526129,7.07355302630646,113.176848420903,17.6838825657662,10.6103295394597,7.07355302630646,0,17.6838825657662,28.2942121052258,21.2206590789194,10.6103295394597,7.07355302630646,56.5884242104517,0,0,3.53677651315323,0,0,0,0,24.7574355920726,0,0,0,0,0,0,3.53677651315323,0,0,0,0,3.53677651315323,3.53677651315323,0,0,0,16.2933333333333,0.375,0.5,0.274498762376238,49.0910010575018
"T_43",25,14.1471060526129,81.3458598025243,0,0,38.9045416446855,169.765272631355,3.53677651315323,28.2942121052258,0,7.07355302630646,21.2206590789194,21.2206590789194,21.2206590789194,7.07355302630646,14.1471060526129,7.07355302630646,7.07355302630646,7.07355302630646,7.07355302630646,0,0,0,0,3.53677651315323,0,3.53677651315323,3.53677651315323,42.4413181578388,3.53677651315323,7.07355302630646,0,3.53677651315323,0,7.07355302630646,3.53677651315323,0,0,0,0,0,7.8,0.625,0.875,0.203071959462803,40.8663307232606
