"massif,""plot"",""X_L93"",""Y_L93"",""X_WGS84"",""Y_WGS84"",""sp"",""note_DEPERIS"",""DBH.cm"",""H_arbre.m"",""id_arbre"""
"Troncais,118,679437.1,6618890.56,2.73103100247681,46.6697819810361,""Quercus_petraea"",""D"",68,36,""T_118"""
"Troncais,19,687169.14,6620186.79,2.83213200978935,46.6816459782422,""Quercus_petraea"",""C"",102,44,""T_19"""
"Troncais,207,682320.43,6615560.97,2.76887303218246,46.6398839838803,""Quercus_petraea"",""B"",87,42,""T_207"""
"Troncais,315,679678.04,6612945.86,2.73444402962923,46.6162620205432,""Quercus_petraea"",""D"",77,45,""T_315"""
"Troncais,327,678562.41,6612788.46,2.71987301297486,46.6148100234568,""Quercus_petraea"",""D"",88,39,""T_327"""
"Troncais,337,677172.95,6614268.08,2.70164396613836,46.6280870418996,""Quercus_petraea"",""D"",103,41,""T_337"""
"Troncais,350,676270.06,6611559.27,2.68998197279871,46.6036650259048,""Quercus_petraea"",""D"",68,35,""T_350"""
"Troncais,368,677488.9,6609902.28,2.70598595961928,46.5887869801372,""Quercus_petraea"",""C"",75,35,""T_368"""
"Troncais,413,675026.81,6611167.91,2.67376097850501,46.6000960115343,""Quercus_petraea"",""D"",94,35,""T_413"""
"Troncais,43,684571.32,6618585.73,2.7981979586184,46.6671750415117,""Quercus_petraea"",""B"",82,37,""T_43"""
"Vierzon,169,633546.92,6683850.05,2.12135097943246,47.25162897259,""Quercus"",""C"",55,30,""V_169"""
"Vierzon,179,633337.91,6685413.26,2.11835696361959,47.2656799759716,""Quercus"",""C"",63,36,""V_179"""
"Vierzon,22,638266.58,6683566.23,2.18378903344274,47.2495299763978,""Quercus"",""C"",81,32,""V_22"""
"Vierzon,236,630551.32,6685770.62,2.08145102486014,47.2686109598726,""Quercus"",""C"",104,26,""V_236"""
"Vierzon,249,629523.49,6685411.53,2.06791399978101,47.2652700170875,""Quercus"",""D"",51,27,""V_249"""
"Vierzon,270,628686.51,6685528.89,2.05682700499892,47.2662370372564,""Quercus"",""C"",65,29,""V_270"""
"Vierzon,290,626861.64,6684961.2,2.03278603032231,47.2609280236065,""Quercus_petraea"",""D"",55,27,""V_290"""
"Vierzon,63,637561.11,6681650.35,2.17472702264786,47.2322169877589,""Quercus"",""C"",46,28,""V_63"""
"Vierzon,71,636127.58,6687716.59,2.15492301620543,47.2866889648139,""Quercus_robur"",""C"",94,30,""V_71"""
"Vierzon,81,639275.81,6685482.11,2.19687402248383,47.2668700385839,""Quercus_robur"",""C"",65,30,""V_81"""
