"placette";"date";"heure_debut";"heure_fin";"rq_placette";"transect";"rq_transect";"pts_libres_15m";"pts_libres_25m";"arbustive_15m";"arbustive_25m";"arboree_15m";"arboree_25m";"BMS_classe_diametre.cm";"BMS_sd_saprox";"BMS_sp";"BMS_contact_sol";"quart";"rq_quart";"Cat_arbre";"note_DEPERIS";"BM";"MR";"diam";"BMP_sd_saprox";"BMP_sp";"H_arbre_mort.m";"code_DMH";"code_DMH2";"code_DMH3";"code_DMH4";"code_DMH5";"code_DMH6";"code_DMH7";"code_DMH8";"code_DMH9";"quart_abg";"num_arbre"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Nord";"";8;NA;1;1;1;1;"5";4;"INC";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Nord";"";8;NA;1;1;1;1;"10";5;"INC";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Nord";"";8;NA;1;1;1;1;"5";4;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Nord";"";8;NA;1;1;1;1;"5";4;"HET";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"Nord";"";8;NA;1;1;1;1;"10";5;"CHE";"Oui";"";"";"";"";NA;NA;NA;NA;"";NA;"";"";"";"";"";"";"";"";"";NA;""
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;30;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.2"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;20;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.3"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;10;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.4"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;20;NA;"charme";NA;"DE12h";"";"";"";"";"";"";"";"";"NE";"T_118_NE.5"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;45;NA;"chene pedoncule";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.6"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;55;NA;"chene sessile";NA;"GR12t";"";"";"";"";"";"";"";"";"NE";"T_118_NE.7"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.8"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;35;NA;"chene sessile";NA;"EX11t";"CV22t";"DE12h";"";"";"";"";"";"";"NE";"T_118_NE.9"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;20;NA;"charme";NA;"GR12t";"DE12h";"";"";"";"";"";"";"";"NE";"T_118_NE.10"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.11"
"T_118";"19/06/2024";"10:42";"12:40";"ciel nuageux et bleu";"";"";NA;NA;NA;NA;NA;NA;"";NA;"";"";"Nord-Est";"";"V";"";NA;NA;15;NA;"charme";NA;"";"";"";"";"";"";"";"";"";"NE";"T_118_NE.12"
