Y;Effect;Groupe.var;pval (originale);pval ;Comparaison;Estimate;p-value;Significance;;
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_UC;-0.18850     ;0.16264    ;N.S;;
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_LC;0.12221    ;0.56325    ;N.S;;
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_BC;0.33182    ;0.00421 ** ;**;;
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;UC_LC;0.31071    ;0.00332 ** ;**;;
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;UC_BC;0.52032    ;< 0.001 ***;***;;
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;LC_BC;0.20960    ;0.13565    ;N.S;;
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_UC;-9.838;0.02756 *;N.S;;
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_LC;1.909      ;0.94932    ;N.S;;
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_BC;4.805            ;0.52552    ;N.S;;
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;UC_LC;11.747      ;0.00462 **;**;;
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;UC_BC;14.643      ;< 0.001 ***;***;;
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;LC_BC;2.896      ;0.84556    ;N.S;;
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_UC;-0.60580;< 0.001 ***;***;;
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_LC;-0.03042;0.99742    ;N.S;;
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_BC;0.89971    ;< 0.001 ***;***;;
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;UC_LC;0.57538    ;0.00114 **;**;;
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;UC_BC;1.50551    ;< 0.001 ***;***;;
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;LC_BC;0.93013    ;< 0.001 ***;***;;
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_UC;-0.39644;< 0.001 ***;***;;
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_LC;-0.11664 ;0.58016    ;N.S;;
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_BC;0.35976;0.00202 **;**;;
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;UC_LC;0.27979    ;0.00470 **;**;;
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;UC_BC;0.75619    ;< 0.001 ***;***;;
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;LC_BC;0.47640    ;< 0.001 ***;***;;
