Y;Effect;Groupe.var;pval (originale);pval;Comparaison;Estimate;p-value;Significance
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_UC;-0.18275;0.1823    ;N.S
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_LC;0.23782    ;0.0443 *;N.S
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_BC;0.44927    ;< 0.001 ***;***
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;UC_LC;0.42057    ;< 0.001 ***;***
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;UC_BC;0.63202    ;< 0.001 ***;***
ab.colsx;Stratum effect;General;P < 0,001;P < 0,001;LC_BC;0.21145    ;0.0936 .;N.S
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_UC;-9.838;0.02769 *;N.S
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_LC;1.909      ;0.94932    ;N.S
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;AC_BC;4.805      ;0.52548    ;N.S
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;UC_LC;11.747      ;0.00488 **;**
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;UC_BC;14.643      ;< 0.001 ***;***
sr.colsx;Stratum effect;General;P < 0,001;P < 0,001;LC_BC;2.896      ;0.84556    ;N.S
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_UC;-1.425539;0.000102 ***;***
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_LC;0.008195   ;0.999994    ;N.S
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_BC;1.523685   ;< 1e-04 ***;***
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;UC_LC;1.433734   ;< 1e-04 ***;***
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;UC_BC;2.949224   ;< 1e-04 ***;***
ab.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;LC_BC;1.515490   ;< 1e-04 ***;***
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_UC;-0.39209;< 0.001 ***;***
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_LC;-0.10329;0.69476    ;N.S
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;AC_BC;0.39002    ;0.00152 **;**
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;UC_LC;0.28880    ;0.00493 **;**
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;UC_BC;0.78211    ;< 0.001 ***;***
sr.colsxrar;Stratum effect;General;P < 0,001;P < 0,001;LC_BC;0.49331    ;< 0.001 ***;***
ab.colsxcom;Stratum effect;General;P < 0,001;P < 0,001;AC_UC;-0.12324;0.57988    ;N.S
ab.colsxcom;Stratum effect;General;P < 0,001;P < 0,001;AC_LC;0.40309    ;0.00179 **;**
ab.colsxcom;Stratum effect;General;P < 0,001;P < 0,001;AC_BC;0.50515    ;< 0.001 ***;***
ab.colsxcom;Stratum effect;General;P < 0,001;P < 0,001;UC_LC;0.52632    ;< 0.001 ***;***
