Y;Effect;Releve;Groupe.var;pval (originale);pval;Comparaison;Estimate;p-value;Significance
ab.colsx;Stratum effect;R1;General;N.S;N.S;AC_UC;;;N.S
ab.colsx;Stratum effect;R1;General;N.S;N.S;AC_LC;;;N.S
ab.colsx;Stratum effect;R1;General;N.S;N.S;AC_BC;;;N.S
ab.colsx;Stratum effect;R1;General;N.S;N.S;UC_LC;;;N.S
ab.colsx;Stratum effect;R1;General;N.S;N.S;UC_BC;;;N.S
ab.colsx;Stratum effect;R1;General;N.S;N.S;LC_BC;;;N.S
sr.colsx;Stratum effect;R1;General;N.S;N.S;AC_UC;;;N.S
sr.colsx;Stratum effect;R1;General;N.S;N.S;AC_LC;;;N.S
sr.colsx;Stratum effect;R1;General;N.S;N.S;AC_BC;;;N.S
sr.colsx;Stratum effect;R1;General;N.S;N.S;UC_LC;;;N.S
sr.colsx;Stratum effect;R1;General;N.S;N.S;UC_BC;;;N.S
sr.colsx;Stratum effect;R1;General;N.S;N.S;LC_BC;;;N.S
ab.colsxrar;Stratum effect;R1;General;;;AC_UC;;;
ab.colsxrar;Stratum effect;R1;General;;;AC_LC;;;
ab.colsxrar;Stratum effect;R1;General;;;AC_BC;;;
ab.colsxrar;Stratum effect;R1;General;;;UC_LC;;;
ab.colsxrar;Stratum effect;R1;General;;;UC_BC;;;
ab.colsxrar;Stratum effect;R1;General;;;LC_BC;;;
sr.colsxrar;Stratum effect;R1;General;N.S;N.S;AC_UC;;;N.S
sr.colsxrar;Stratum effect;R1;General;N.S;N.S;AC_LC;;;N.S
sr.colsxrar;Stratum effect;R1;General;N.S;N.S;AC_BC;;;N.S
sr.colsxrar;Stratum effect;R1;General;N.S;N.S;UC_LC;;;N.S
sr.colsxrar;Stratum effect;R1;General;N.S;N.S;UC_BC;;;N.S
sr.colsxrar;Stratum effect;R1;General;N.S;N.S;LC_BC;;;N.S
ab.colsxcom;Stratum effect;R1;General;P < 0,05;N.S;AC_UC;;;N.S
ab.colsxcom;Stratum effect;R1;General;P < 0,05;N.S;AC_LC;;;N.S
ab.colsxcom;Stratum effect;R1;General;P < 0,05;N.S;AC_BC;;;N.S
ab.colsxcom;Stratum effect;R1;General;P < 0,05;N.S;UC_LC;;;N.S
ab.colsxcom;Stratum effect;R1;General;P < 0,05;N.S;UC_BC;;;N.S
ab.colsxcom;Stratum effect;R1;General;P < 0,05;N.S;LC_BC;;;N.S
sr.colsxcom;Stratum effect;R1;General;;;AC_UC;;;
sr.colsxcom;Stratum effect;R1;General;;;AC_LC;;;
sr.colsxcom;Stratum effect;R1;General;;;AC_BC;;;
sr.colsxcom;Stratum effect;R1;General;;;UC_LC;;;
sr.colsxcom;Stratum effect;R1;General;;;UC_BC;;;
sr.colsxcom;Stratum effect;R1;General;;;LC_BC;;;
ab.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_UC;;;N.S
ab.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_LC;;;N.S
ab.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_BC;;;N.S
ab.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;UC_LC;;;N.S
ab.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;UC_BC;;;N.S
ab.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;LC_BC;;;N.S
sr.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_UC;;;N.S
sr.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_LC;;;N.S
sr.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_BC;;;N.S
sr.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;UC_LC;;;N.S
sr.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;UC_BC;;;N.S
sr.fon;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;LC_BC;;;N.S
ab.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_UC;;;N.S
ab.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_LC;;;N.S
ab.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_BC;;;N.S
ab.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;UC_LC;;;N.S
ab.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;UC_BC;;;N.S
ab.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;LC_BC;;;N.S
sr.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_UC;;;N.S
sr.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_LC;;;N.S
sr.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;AC_BC;;;N.S
sr.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;UC_LC;;;N.S
sr.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;UC_BC;;;N.S
sr.lig;Stratum effect;R1;Microhabitat Larvae Guilds;N.S;N.S;LC_BC;;;N.S
ab.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;AC_UC;;;N.S
ab.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;AC_LC;;;N.S
ab.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;AC_BC;;;N.S
ab.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;UC_LC;;;N.S
ab.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;UC_BC;;;N.S
ab.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;LC_BC;;;N.S
sr.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;AC_UC;;;N.S
sr.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;AC_LC;;;N.S
sr.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;AC_BC;;;N.S
sr.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;UC_LC;;;N.S
sr.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;UC_BC;;;N.S
sr.xyl;Stratum effect;R1;Trophic Larvae Guilds;N.S;N.S;LC_BC;;;N.S
ab.colsxrsx;Stratum effect;R1;Microhabitat Larvae Guilds;;;AC_UC;;;
ab.colsxrsx;Stratum effect;R1;Microhabitat Larvae Guilds;;;AC_LC;;;
ab.colsxrsx;Stratum effect;R1;Microhabitat Larvae Guilds;;;AC_BC;;;
ab.colsxrsx;Stratum effect;R1;Microhabitat Larvae Guilds;;;UC_LC;;;
ab.colsxrsx;Stratum effect;R1;Microhabitat Larvae Guilds;;;UC_BC;;;
ab.colsxrsx;Stratum effect;R1;Microhabitat Larvae Guilds;;;LC_BC;;;
sr.colsxsrx;Stratum effect;R1;Microhabitat Larvae Guilds;;;AC_UC;;;
sr.colsxsrx;Stratum effect;R1;Microhabitat Larvae Guilds;;;AC_LC;;;
sr.colsxsrx;Stratum effect;R1;Microhabitat Larvae Guilds;;;AC_BC;;;
sr.colsxsrx;Stratum effect;R1;Microhabitat Larvae Guilds;;;UC_LC;;;
sr.colsxsrx;Stratum effect;R1;Microhabitat Larvae Guilds;;;UC_BC;;;
sr.colsxsrx;Stratum effect;R1;Microhabitat Larvae Guilds;;;LC_BC;;;
ab.colsx;Stratum effect;R2;General;< 0,001;< 0,001;AC_UC;-0.09852;0.7848    ;N.S
ab.colsx;Stratum effect;R2;General;< 0,001;< 0,001;AC_LC;0.22199    ;0.2172    ;N.S
ab.colsx;Stratum effect;R2;General;< 0,001;< 0,001;AC_BC;0.62163    ;< 0,001 *** ;***
ab.colsx;Stratum effect;R2;General;< 0,001;< 0,001;UC_LC;0.32051    ;0.0202 *;N.S
ab.colsx;Stratum effect;R2;General;< 0,001;< 0,001;UC_BC;0.72015    ;< 0,001 *** ;***
ab.colsx;Stratum effect;R2;General;< 0,001;< 0,001;LC_BC;0.39964    ;0.0142 *;N.S
sr.colsx;Stratum effect;R2;General;< 0,001;< 0,001;AC_UC;-0.17394;0.12208    ;N.S
sr.colsx;Stratum effect;R2;General;< 0,001;< 0,001;AC_LC;0.05364    ;0.91826    ;N.S
sr.colsx;Stratum effect;R2;General;< 0,001;< 0,001;AC_BC;0.35093    ;< 0,001 *** ;***
sr.colsx;Stratum effect;R2;General;< 0,001;< 0,001;UC_LC;0.22758    ;0.02381 *;N.S
sr.colsx;Stratum effect;R2;General;< 0,001;< 0,001;UC_BC;0.52486    ;< 0,001 *** ;***
