"id_arbre","strate","CWM_saprox","FDis_saprox"
"T_315","arbre",5,4.75809867696496e-17
"T_337","arbre",4.35714285714286,0.48463033251458
"V_22","arbre",4,0.703611445724872
"V_71","arbre",4.07142857142857,0.641686458792453
"T_118","arbre",4.28571428571428,0.538478147238422
"T_19","arbre",5,4.03717463500057e-17
"T_207","arbre",4.54545454545454,0.363435664114087
"T_327","arbre",5,7.40148683083438e-17
"T_350","arbre",4,0.703611445724872
"T_413","arbre",3.88888888888889,0.760074092604028
"T_43","arbre",3.22222222222222,0.944663515093578
"V_236","arbre",3.33333333333333,0.977238119062322
"V_270","arbre",3.75,0.824544662958834
"V_63","arbre",2.5,1.09939288394511
"V_179","arbre",4.57142857142857,0.323086888343053
"V_290","arbre",5,0
"T_368","arbre",0,0
"V_169","arbre",1.66666666666667,0.977238119062322
"V_249","arbre",3.33333333333333,0.977238119062322
"V_81","arbre",3.33333333333333,0.977238119062322
"T_118","BC",NA,NA
"T_19","BC",5,6.66133814775094e-16
"T_207","BC",0,0
"T_315","BC",5,0
"T_327","BC",NA,NA
"T_337","BC",3.875,0.778780325662472
"T_350","BC",3,1.10759868538663
"T_368","BC",0,0
"T_413","BC",2.5,1.15374863061107
"T_43","BC",1.33333333333333,0.820443470656761
"V_169","BC",0,0
"V_179","BC",4.4,0.443039474154651
"V_22","BC",5,0
"V_236","BC",1.66666666666667,1.02555433832095
"V_249","BC",NA,NA
"V_270","BC",5,5.9211894646675e-16
"V_290","BC",5,0
"V_63","BC",5,0
"V_71","BC",4.28571428571428,0.565101370095218
"V_81","BC",NA,NA
"T_118","LC",5,6.66133814775094e-17
"T_19","LC",5,6.34413156928661e-17
"T_207","LC",5,7.40148683083438e-17
"T_315","LC",5,0
"T_327","LC",5,8.32667268468867e-17
"T_337","LC",5,6.47630097698008e-17
"T_350","LC",5,8.32667268468867e-17
"T_368","LC",NA,NA
"T_413","LC",5,4.16333634234434e-17
"T_43","LC",5,5.55111512312578e-17
"V_169","LC",5,0
"V_179","LC",5,0
"V_22","LC",5,0
"V_236","LC",5,7.7715611723761e-17
"V_249","LC",5,0
"V_270","LC",NA,NA
"V_290","LC",NA,NA
"V_63","LC",5,0
"V_71","LC",4.4,1.01192885125388
"V_81","LC",5,0
"T_118","UC",2.5,1
"T_19","UC",5,0
"T_207","UC",5,0
"T_315","UC",5,0
"T_327","UC",5,2.77555756156289e-17
"T_337","UC",NA,NA
"T_350","UC",5,0
"T_368","UC",0,0
"T_413","UC",3.33333333333333,0.888888888888889
"T_43","UC",3.33333333333333,0.888888888888889
"V_169","UC",0,0
"V_179","UC",NA,NA
"V_22","UC",2.5,1
"V_236","UC",0,0
"V_249","UC",2.5,1
"V_270","UC",0,0
"V_290","UC",NA,NA
"V_63","UC",0,0
"V_71","UC",2.5,1
"V_81","UC",0,0
