"placette";"Piege_1";"H_arbre";"H_mi_canop";"H_bas_houp"
"T_118";39;36;25.9;15.8
"T_19";47;44;31.7;19.4
"T_207";45;42;28.8;15.6
"T_315";48;45;31.95;18.9
"T_327";42;39;26;13
"T_337";44;41;29.55;18.1
"T_350";38;35;27.65;20.3
"T_368";38;35;23.25;11.5
"T_413";38;35;22.1;9.2
"T_43";40;37;26.7;16.4
"V_170";33;30;22.8;15.6
"V_179";39;36;27.3;18.6
"V_22";35;32;19.5;7
"V_236";29;26;17.5;9
"V_249";30;27;21.1;15.2
"V_270";32;29;21.5;14
"V_290";30;27;21.65;16.3
"V_63";31;28;32.9;19.8
"V_71";33;30;21.2;12.4
"V_81";33;30;21.5;13
