"Placette";"Vol_BMP_UC.m3";"Vol_BMP_LC.m3";"Vol_BMP_BC.m3"
"T_118";0.015707963267949;0.0196349540849362;0.015707963267949
"T_19";0.0215984494934298;0.0903207887907066;0.015707963267949
"T_207";0.11388273369263;0.274889357189107;0
"T_315";0.0785398163397448;0.111919238284136;0
"T_327";0.0451603943953533;0.0235619449019235;0
"T_337";0.00785398163397448;0.290597320457056;0
"T_350";0.0392699081698725;0.0687223392972768;0.133517687777566
"T_368";0.00785398163397448;0.0117809724509617;0
"T_413";0.0215984494934299;0.0255254403104171;0
"T_43";0.0176714586764426;0.0274889357189107;0
"V_170";0;0;0.00392699081698724
"V_179";0;0.0746128255227575;0.0647953484802895
"V_22";0.00785398163397448;0.0353429173528852;0
"V_236";0.0137444678594553;0.461421420996;0
"V_249";0.015707963267949;0.0667588438887831;0
"V_270";0;0.00196349540849362;0.145298660228528
"V_290";0.00196349540849362;0.00196349540849362;0.0314159265358979
"V_63";0;0.0176714586764426;0.0235619449019235
"V_71";0.00785398163397448;0.0294524311274044;0.0785398163397449
"V_81";0;0.0333794219443916;0.00392699081698724
