"placette";"NB_espBMD_placette";"NB_espBMS_placette";"NB_espBMP_placette";"NB_espBM";"NB_espBM_canopy_placette";"NB_espBM_under_placette"
"T_118";2;16;7;25;3;25
"T_19";1;15;7;23;2;23
"T_207";1;16;4;21;1;21
"T_315";3;15;6;24;3;24
"T_327";3;7;6;16;3;15
"T_337";3;16;7;26;5;26
"T_350";5;18;5;28;7;26
"T_368";6;19;6;31;7;31
"T_413";3;18;6;27;2;27
"T_43";2;21;5;28;2;28
"V_170";5;8;2;15;4;13
"V_179";5;8;5;18;9;18
"V_22";6;12;5;23;7;21
"V_236";3;10;7;20;3;20
"V_249";3;10;3;16;4;16
"V_270";3;6;5;14;6;12
"V_290";2;4;5;11;6;9
"V_63";3;9;5;17;7;16
"V_71";4;12;5;21;8;19
"V_81";1;15;3;19;2;19
