"placette";"Seuil_superieur_(AC)";"Seuil_inferieur_(AC)";"Seuil_superieur_(UC)";"Seuil_inferieur_(UC)";"Seuil_superieur_(LC)";"Seuil_inferieur_(LC)";"Seuil_superieur_(BC)";"Seuil_inferieur_(BC)";"Seuil_superieur_(FT)";"Seuil_inferieur_(FT)"
"T_118";39;36;36;25.9;25.9;15.8;15.8;2;2;0
"T_19";47;44;44;31.7;31.7;19.4;19.4;2;2;0
"T_207";45;42;42;28.8;28.8;15.6;15.6;2;2;0
"T_315";48;45;45;31.95;31.95;18.9;18.9;2;2;0
"T_327";42;39;39;26;26;13;13;2;2;0
"T_337";44;41;41;29.55;29.55;18.1;18.1;2;2;0
"T_350";38;35;35;27.65;27.65;20.3;20.3;2;2;0
"T_368";38;35;35;23.25;23.25;11.5;11.5;2;2;0
"T_413";38;35;35;22.1;22.1;9.2;9.2;2;2;0
"T_43";40;37;37;26.7;26.7;16.4;16.4;2;2;0
"V_170";33;30;30;22.8;22.8;15.6;15.6;2;2;0
"V_179";39;36;36;27.3;27.3;18.6;18.6;2;2;0
"V_22";35;32;32;19.5;19.5;7;7;2;2;0
"V_236";29;26;26;17.5;17.5;9;9;2;2;0
"V_249";30;27;27;21.1;21.1;15.2;15.2;2;2;0
"V_270";32;29;29;21.5;21.5;14;14;2;2;0
"V_290";30;27;27;21.65;21.65;16.3;16.3;2;2;0
"V_63";31;28;28;32.9;32.9;19.8;19.8;2;2;0
"V_71";33;30;30;21.2;21.2;12.4;12.4;2;2;0
"V_81";33;30;30;21.5;21.5;13;13;2;2;0
