"placette";"NB_arbres";"nb_Mort";"Taux_M_tot"
"T_118";80;1;1.25
"T_19";46;1;2.17391304347826
"T_207";50;1;2
"T_315";55;2;3.63636363636364
"T_327";65;3;4.61538461538462
"T_337";51;6;11.7647058823529
"T_350";54;9;16.6666666666667
"T_368";59;10;16.9491525423729
"T_413";44;4;9.09090909090909
"T_43";55;3;5.45454545454545
"V_170";71;9;12.6760563380282
"V_179";46;10;21.7391304347826
"V_22";72;14;19.4444444444444
"V_236";105;3;2.85714285714286
"V_249";58;2;3.44827586206897
"V_270";53;3;5.66037735849057
"V_290";79;1;1.26582278481013
"V_63";117;3;2.56410256410256
"V_71";87;3;3.44827586206897
"V_81";66;1;1.51515151515152
