"id_arbre","strate","abon_tot","abon_saprox","abon_cavite","abon_sporophore","densi_tot","densi_saprox","densi_cavite","densi_sporophore","div_tot","div_saprox","div_cavite","div_sporophore"
"T_118","arbre",7,6,4,0,0.194444444444444,0.166666666666667,0.111111111111111,0,4,3,1,0
"T_19","arbre",11,11,2,0,0.25,0.25,0.0454545454545455,0,6,6,1,0
"T_207","arbre",11,10,2,0,0.261904761904762,0.238095238095238,0.0476190476190476,0,5,4,1,0
"T_315","arbre",7,7,1,0,0.155555555555556,0.155555555555556,0.0222222222222222,0,2,2,1,0
"T_327","arbre",6,6,2,0,0.153846153846154,0.153846153846154,0.0512820512820513,0,2,2,1,0
"T_337","arbre",14,13,2,0,0.341463414634146,0.317073170731707,0.0487804878048781,0,8,7,2,0
"T_350","arbre",10,8,2,0,0.285714285714286,0.228571428571429,0.0571428571428571,0,4,3,1,0
"T_368","arbre",4,0,0,0,0.114285714285714,0,0,0,3,0,0,0
"T_413","arbre",9,7,3,0,0.257142857142857,0.2,0.0857142857142857,0,6,4,1,0
"T_43","arbre",9,6,1,0,0.243243243243243,0.162162162162162,0.027027027027027,0,7,4,1,0
"V_169","arbre",3,1,0,0,0.1,0.0333333333333333,0,0,3,1,0,0
"V_179","arbre",7,7,1,0,0.194444444444444,0.194444444444444,0.0277777777777778,0,4,4,1,0
"V_22","arbre",5,4,1,0,0.15625,0.125,0.03125,0,3,2,1,0
"V_236","arbre",9,6,2,0,0.346153846153846,0.230769230769231,0.0769230769230769,0,7,4,1,0
"V_249","arbre",3,2,0,0,0.111111111111111,0.0740740740740741,0,0,2,1,0,0
"V_270","arbre",4,3,1,0,0.137931034482759,0.103448275862069,0.0344827586206897,0,4,3,1,0
"V_290","arbre",2,2,0,0,0.0740740740740741,0.0740740740740741,0,0,2,2,0,0
"V_63","arbre",4,2,1,1,0.142857142857143,0.0714285714285714,0.0357142857142857,0.0357142857142857,4,2,1,1
"V_71","arbre",14,12,6,0,0.466666666666667,0.4,0.2,0,10,8,2,0
"V_81","arbre",3,2,0,0,0.1,0.0666666666666667,0,0,2,1,0,0
"T_118","BC",0,0,0,0,0,0,0,0,0,0,0,0
"T_19","BC",2,2,1,0,0.103092783505155,0.103092783505155,0.0515463917525773,0,2,2,1,0
"T_207","BC",1,0,0,0,0.0641025641025641,0,0,0,1,0,0,0
"T_315","BC",1,1,1,0,0.0529100529100529,0.0529100529100529,0.0529100529100529,0,1,1,1,0
"T_327","BC",0,0,0,0,0,0,0,0,0,0,0,0
"T_337","BC",8,7,1,0,0.441988950276243,0.386740331491713,0.0552486187845304,0,6,5,1,0
"T_350","BC",5,3,1,0,0.246305418719212,0.147783251231527,0.0492610837438424,0,3,2,1,0
"T_368","BC",2,0,0,0,0.173913043478261,0,0,0,1,0,0,0
"T_413","BC",2,1,1,0,0.217391304347826,0.108695652173913,0.108695652173913,0,2,1,1,0
"T_43","BC",3,1,0,0,0.182926829268293,0.0609756097560976,0,0,3,1,0,0
"V_169","BC",1,0,0,0,0.0641025641025641,0,0,0,1,0,0,0
"V_179","BC",5,5,1,0,0.268817204301075,0.268817204301075,0.053763440860215,0,4,4,1,0
"V_22","BC",1,1,1,0,0.142857142857143,0.142857142857143,0.142857142857143,0,1,1,1,0
