"placette","etage","abon_tot","abon_saprox","abon_cavite","abon_sporophore","div_tot","div_saprox","div_cavite","div_sporophore"
"T_118","total",80,63,13,1,17,13,3,1
"T_19","total",90,75,20,0,22,18,6,0
"T_207","total",115,66,14,2,20,14,3,2
"T_315","total",64,42,8,0,15,11,3,0
"T_327","total",92,60,15,2,26,21,4,2
"T_337","total",127,96,24,4,22,16,5,2
"T_350","total",87,70,11,4,19,16,4,2
"T_368","total",84,64,8,1,20,15,3,1
"T_413","total",81,56,10,2,19,15,5,1
"T_43","total",110,81,27,4,25,18,5,3
"V_169","total",60,40,7,1,15,8,2,1
"V_179","total",76,66,9,3,20,16,3,2
"V_22","total",82,74,16,0,18,15,5,0
"V_236","total",129,78,13,8,24,17,6,3
"V_249","total",36,25,2,2,12,8,2,2
"V_270","total",58,45,3,1,15,10,2,1
"V_290","total",28,20,4,0,9,6,3,0
"V_63","total",150,72,10,4,16,7,1,3
"V_71","total",121,91,19,8,29,20,6,2
"V_81","total",113,54,1,0,11,7,1,0
"T_118","se",36,20,4,1,13,9,2,1
"T_19","se",39,28,7,0,14,11,3,0
"T_207","se",70,30,6,2,17,11,3,2
"T_315","se",27,8,1,0,9,6,1,0
"T_327","se",50,20,5,1,15,10,2,1
"T_337","se",75,46,17,3,18,12,4,2
"T_350","se",52,35,5,3,16,13,3,2
"T_368","se",44,35,4,1,15,13,3,1
"T_413","se",44,23,7,1,17,13,5,1
"T_43","se",54,30,13,2,19,13,4,2
"V_169","se",27,12,3,1,12,6,2,1
"V_179","se",32,25,4,2,16,13,3,2
"V_22","se",31,27,10,0,12,9,4,0
"V_236","se",78,37,9,7,17,13,6,3
"V_249","se",7,4,0,1,5,2,0,1
"V_270","se",22,17,2,1,12,9,2,1
"V_290","se",14,7,2,0,6,4,2,0
"V_63","se",94,26,3,0,9,4,1,0
"V_71","se",59,36,9,4,21,16,5,1
"V_81","se",68,19,1,0,10,7,1,0
"T_118","canopee",43,42,8,0,8,7,1,0
"T_19","canopee",51,47,13,0,16,14,4,0
"T_207","canopee",45,36,8,0,11,9,1,0
"T_315","canopee",37,34,7,0,12,9,2,0
"T_327","canopee",39,37,9,1,19,17,3,1
"T_337","canopee",51,50,7,0,13,12,3,0
"T_350","canopee",35,35,6,1,10,10,2,1
"T_368","canopee",40,29,4,0,12,8,2,0
"T_413","canopee",37,33,3,1,13,10,1,1
"T_43","canopee",56,51,14,2,17,13,4,2
"V_169","canopee",33,28,4,0,8,5,1,0
"V_179","canopee",40,37,4,1,9,8,1,1
"V_22","canopee",51,47,6,0,12,11,2,0
"V_236","canopee",45,37,3,1,11,8,1,1
"V_249","canopee",29,21,2,1,9,7,2,1
"V_270","canopee",36,28,1,0,9,6,1,0
"V_290","canopee",14,13,2,0,5,4,2,0
"V_63","canopee",52,44,6,3,10,5,1,2
"V_71","canopee",62,55,10,4,18,13,4,2
"V_81","canopee",45,35,0,0,7,3,0,0
